id,make,model,verdict_significance
yamaha-fzs1000-fazer-2001,Yamaha,FZS1000,9
yamaha-fz8-fazer-2010,Yamaha,FZ8,7
yamaha-xv950-bolt-2014,Yamaha,XV950,7
kawasaki-zrx1200-2001,Kawasaki,ZRX1200,8
kawasaki-zr-7-1999,Kawasaki,ZR-7,6
kawasaki-klr650-1987,Kawasaki,KLR650,7
kawasaki-ninja-250r-2008,Kawasaki,Ninja 250R,7
honda-cb1300-2003,Honda,CB1300,8
honda-x-11-1999,Honda,X-11,7
honda-cbf500-2004,Honda,CBF500,6
honda-cb900f-hornet-2002,Honda,CB900F,8
suzuki-b-king-2007,Suzuki,B-King,8
yamaha-ybr125-2005,Yamaha,YBR125,7
yamaha-xt125r-2005,Yamaha,XT125R,7
honda-vtr250-1998,Honda,VTR250,8
suzuki-gn125-1982,Suzuki,GN125,6
vincent-black-shadow-1948,Vincent,Black Shadow,10
brough-superior-ss100-1924,Brough Superior,SS100,10
ariel-square-four-1931,Ariel,Square Four,9
sunbeam-s7-1946,Sunbeam,S7,8
scott-flying-squirrel-1926,Scott,Flying Squirrel,9
rudge-ulster-1929,Rudge,Ulster,9
douglas-dragonfly-1955,Douglas,Dragonfly,7
velocette-viper-1956,Velocette,Viper,8
francis-barnett-falcon-1947,Francis-Barnett,Falcon,6
james-captain-1950,James,Captain,6
excelsior-talisman-1949,Excelsior,Talisman,6
greeves-scottish-1957,Greeves,Scottish,8
royal-enfield-crusader-1956,Royal Enfield,Crusader,6
ducati-999-2003,Ducati,999,8
ducati-1198-2009,Ducati,1198,9
ducati-monster-796-2010,Ducati,Monster 796,7
ducati-multistrada-950-2017,Ducati,Multistrada 950,8
ducati-supersport-950-2017,Ducati,SuperSport 950,8
bmw-r1150gs-1999,BMW,R1150GS,8
bmw-f650gs-twin-2008,BMW,F650GS,7
bmw-r1200r-2006,BMW,R1200R,8
ktm-1190-adventure-2013,KTM,1190 Adventure,8
ktm-690-smc-r-2012,KTM,690 SMC R,8
mv-agusta-f4-1999,MV Agusta,F4,9
moto-guzzi-california-1972,Moto Guzzi,California,7
aprilia-sr50-1992,Aprilia,SR50,7
ktm-300-exc-1990,KTM,300 EXC,9
ktm-250-exc-f-2007,KTM,250 EXC-F,8
ktm-350-exc-f-2012,KTM,350 EXC-F,9
ktm-500-exc-f-2012,KTM,500 EXC-F,8
husqvarna-te-300-2014,Husqvarna,TE 300,9
husqvarna-fe-250-2014,Husqvarna,FE 250,8
husqvarna-fe-350-2014,Husqvarna,FE 350,9
husqvarna-fe-501-2014,Husqvarna,FE 501,8
beta-rr-300-2t-2013,Beta,RR 300 2T,8
beta-rr-350-4t-2013,Beta,RR 350 4T,8
gasgas-ec-300-2000,GasGas,EC 300,8
gasgas-ec-350f-2021,GasGas,EC 350F,8
sherco-se-300-2010,Sherco,SE 300,8
sherco-sef-450-2015,Sherco,SEF 450,8
yamaha-wr250f-2001,Yamaha,WR250F,8
yamaha-wr450f-2003,Yamaha,WR450F,8
honda-crf450x-2005,Honda,CRF450X,8
honda-crf300-rally-2021,Honda,CRF300 Rally,8
suzuki-dr650se-1996,Suzuki,DR650SE,8
kawasaki-klx230-2020,Kawasaki,KLX230,7
rieju-mr-300-racing-2021,Rieju,MR 300 Racing,8
fantic-xef-250-2022,Fantic,XEF 250,7
ajp-pr7-2017,AJP,PR7,7
honda-xr400r-1996,Honda,XR400R,8
bmw-r100s-1976,BMW,R100S,8
bmw-r69s-1960,BMW,R69S,9
ducati-350-desmo-1968,Ducati,350 Desmo,8
ducati-pantah-500sl-1979,Ducati,Pantah 500SL,8
ducati-900ss-bevel-1975,Ducati,900SS,10
honda-vtr1000-sp-1-sp-2-2000,Honda,VTR1000 SP-1,9
yamaha-sdr-200-1987,Yamaha,SDR 200,8
yamaha-yzf600r-thundercat-1996,Yamaha,YZF600R,7
triumph-x75-hurricane-1972,Triumph,X75 Hurricane,9
mv-agusta-600gt-1965,MV Agusta,600GT,8
yamaha-pw50-1981,Yamaha,PW50,9
kawasaki-ninja-h2-2015,Kawasaki,Ninja H2,10
ktm-rc8-2008,KTM,RC8,8
kawasaki-zx-10-tomcat-1988,Kawasaki,ZX-10,8
suzuki-intruder-vs800-1985,Suzuki,Intruder,6
suzuki-boulevard-m109r-2006,Suzuki,Boulevard,7
keeway-cruiser-250-2015,Keeway,Cruiser 250,5
bmw-hp4-2012,BMW,HP4,9
yamaha-road-star-1999,Yamaha,Road Star,7
kawasaki-zzr600-1990,Kawasaki,ZZR600,7
yamaha-fs1-e-1973,Yamaha,FS1-E,9
triumph-trident-t150-t160-1968,Triumph,Trident,8
velocette-thruxton-1964,Velocette,Thruxton,9
norton-jubilee-250-1958,Norton,Jubilee,6
moto-morini-350-sport-1973,Moto Morini,350 Sport,8
triumph-model-h-1915,Triumph,Model H,8
metisse-desert-racer-2009,Metisse,Desert Racer,8
norton-manx-1946,Norton,Manx,10
kawasaki-ar50-1981,Kawasaki,AR50,7
kawasaki-zzr1200-2002,Kawasaki,ZZR1200,8
suzuki-gsf1250-bandit-2007,Suzuki,GSF1250,8
kawasaki-z400-2019,Kawasaki,Z400,8
lexmoto-michigan-125-2015,Lexmoto,Michigan 125,5
honda-zoomer-50-2002,Honda,Zoomer 50,7
suzuki-gsx1400-2001,Suzuki,GSX1400,8
honda-cb1100-ex-2010,Honda,CB1100,9
kawasaki-zephyr-750-1991,Kawasaki,Zephyr 750,8
kawasaki-zephyr-1100-1992,Kawasaki,Zephyr 1100,8
honda-cb750-seven-fifty-1992,Honda,CB750,7
suzuki-gsx750-inazuma-1998,Suzuki,GSX750,7
yamaha-xjr400-1993,Yamaha,XJR400,7
triumph-thruxton-1200-r-2016,Triumph,Thruxton 1200 R,9
bmw-r-ninet-racer-2017,BMW,R nineT Racer,8
honda-hawk-11-2022,Honda,Hawk 11,8
royal-enfield-scram-411-2022,Royal Enfield,Scram 411,7
benelli-leoncino-500-2018,Benelli,Leoncino 500,7
husqvarna-vitpilen-401-2018,Husqvarna,Vitpilen 401,7
suzuki-vanvan-200-2017,Suzuki,VanVan 200,7
mash-black-seven-125-2015,Mash,Black Seven 125,6
fb-mondial-hps-125-2018,FB Mondial,HPS 125,7
herald-cafe-125-2018,Herald,Cafe 125,6
chang-jiang-pekin-express-2019,Chang Jiang,Pekin Express,7
mv-agusta-brutale-750-2001,MV Agusta,Brutale 750,8
ducati-streetfighter-848-2011,Ducati,Streetfighter 848,8
suzuki-tl1000r-1998,Suzuki,TL1000R,7
honda-vfr800x-crossrunner-2011,Honda,VFR800X,7
yamaha-xt600-1984,Yamaha,XT600,8
yamaha-xt1200z-super-tenere-2010,Yamaha,XT1200Z,8
yamaha-xvs650-dragstar-1997,Yamaha,XVS650,7
honda-xl125v-varadero-2001,Honda,XL125V,7
suzuki-rgv250-1988,Suzuki,RGV250,9
triumph-speed-four-2002,Triumph,Speed Four,7
suzuki-bandit-400-1989,Suzuki,Bandit 400,7
harley-davidson-dyna-low-rider-fxdl-1993,Harley-Davidson,Dyna Low Rider,8
ducati-750-ss-1973,Ducati,750 SS,10
bmw-r90s-1973,BMW,R90S,9
laverda-750-sfc-1971,Laverda,750 SFC,10
moto-guzzi-v7-sport-1971,Moto Guzzi,V7 Sport,9
mv-agusta-750s-1970,MV Agusta,750S,10
ducati-900-darmah-1977,Ducati,900 Darmah,8
ducati-mhr-mike-hailwood-replica-1979,Ducati,MHR,9
benelli-750-sei-1972,Benelli,750 Sei,8
bultaco-sherpa-t-325-1972,Bultaco,Sherpa T,9
montesa-cota-247-1970,Montesa,Cota 247,8
husqvarna-400-cross-1970,Husqvarna,400 Cross,9
maico-mc400-mc490-1978,Maico,MC400,8
hercules-w-2000-1974,Hercules,W-2000,7
gilera-cx-125-1989,Gilera,CX 125,8
aprilia-af1-125-project-108-1987,Aprilia,AF1 125,8
bimota-db1-1985,Bimota,DB1,9
bimota-yb4-ei-1988,Bimota,YB4,9
bimota-tesi-1d-1990,Bimota,Tesi 1D,9
cagiva-elefant-900-1989,Cagiva,Elefant 900,8
norton-classic-rotary-p43-1987,Norton,Classic,8
norton-f1-rotary-p52-1990,Norton,F1,9
ktm-500-mx-1985,KTM,500 MX,8
husqvarna-500-auto-1982,Husqvarna,500 Auto,7
bmw-r100gs-1987,BMW,R100GS,9
moto-guzzi-daytona-1000-1992,Moto Guzzi,Daytona 1000,9
ducati-supermono-1993,Ducati,Supermono,10
ducati-996-sps-1999,Ducati,996 SPS,9
ktm-620-duke-1994,KTM,620 Duke,8
husaberg-fe501-1992,Husaberg,FE501,8
ducati-desmosedici-rr-2008,Ducati,Desmosedici RR,10
bmw-hp2-enduro-2005,BMW,HP2 Enduro,8
ducati-panigale-1199-1299-2012,Ducati,Panigale 1199,9
bmw-s1000xr-gen-1-2015,BMW,S1000XR,8
husqvarna-vitpilen-701-2018,Husqvarna,Vitpilen 701,8
bmw-m1000rr-2021,BMW,M1000RR,10
triumph-street-triple-675-gen-1-2007,Triumph,Street Triple 675,9
harley-davidson-xr750-1970,Harley-Davidson,XR750,10
harley-davidson-xlcr-1000-1977,Harley-Davidson,XLCR 1000,9
harley-davidson-fx-super-glide-1971,Harley-Davidson,FX Super Glide,8
harley-davidson-fxs-low-rider-1977,Harley-Davidson,FXS Low Rider,8
harley-davidson-fxst-softail-1984,Harley-Davidson,FXST Softail,8
harley-davidson-xr1000-1983,Harley-Davidson,XR1000,9
harley-davidson-sportster-evolution-xlh883-1200-1986,Harley-Davidson,Sportster Evolution,7
harley-davidson-fxrt-sport-glide-1983,Harley-Davidson,FXRT Sport Glide,8
harley-davidson-fxdx-super-glide-sport-1999,Harley-Davidson,FXDX Super Glide Sport,8
harley-davidson-flsts-heritage-springer-1997,Harley-Davidson,FLSTS Heritage Springer,8
harley-davidson-xr1200-2008,Harley-Davidson,XR1200,8
harley-davidson-nightster-xl1200n-2007,Harley-Davidson,Nightster,7
harley-davidson-cross-bones-flstsb-2008,Harley-Davidson,Cross Bones,8
harley-davidson-forty-eight-xl1200x-2010,Harley-Davidson,Forty-Eight,7
harley-davidson-softail-slim-fls-2012,Harley-Davidson,Softail Slim,8
harley-davidson-street-glide-special-flhxs-2014,Harley-Davidson,Street Glide Special,9
harley-davidson-low-rider-st-fxlrst-2022,Harley-Davidson,Low Rider ST,9
buell-s1-lightning-1996,Buell,S1 Lightning,8
buell-thunderbolt-s2-rss1200-1994,Buell,Thunderbolt,7
buell-firebolt-xb9r-xb12r-2002,Buell,Firebolt,7
buell-1125r-2008,Buell,1125R,8
buell-ulysses-xb12x-2006,Buell,Ulysses,7
victory-vegas-2003,Victory,Vegas,7
victory-hammer-2005,Victory,Hammer,7
victory-vision-tour-2008,Victory,Vision Tour,7
victory-octane-2016,Victory,Octane,7
indian-challenger-2020,Indian,Challenger,9
indian-pursuit-dark-horse-2022,Indian,Pursuit,9
zero-dsr-x-2023,Zero,DSR/X,8
ebr-1190rx-2014,EBR,1190RX,8
honda-cb750-k0-k6-1969,Honda,CB750,10
kawasaki-h2-mach-iv-1971,Kawasaki,H2 Mach IV,9
kawasaki-kh400-1976,Kawasaki,KH400,8
kawasaki-z650-1976,Kawasaki,Z650,8
suzuki-gs750-1976,Suzuki,GS750,8
suzuki-re5-rotary-1974,Suzuki,RE5,8
yamaha-tz350-1973,Yamaha,TZ350,9
honda-cb1100r-1981,Honda,CB1100R,9
honda-cx500-turbo-1982,Honda,CX500,8
kawasaki-gpz750-turbo-1983,Kawasaki,GPZ750,8
honda-nsr250r-mc18-mc21-1987,Honda,NSR250R,9
yamaha-tzr250-3ma-3xv-1989,Yamaha,TZR250,8
kawasaki-kr1-s-1989,Kawasaki,KR1-S,8
honda-nr750-rc40-1992,Honda,NR750,10
honda-rvf750r-rc45-1994,Honda,RVF750R,10
honda-vfr800fi-1998,Honda,VFR800Fi,9
kawasaki-zrx1100-1997,Kawasaki,ZRX1100,8
suzuki-gsx-r1000-k1-k4-2001,Suzuki,GSX-R1000,9
honda-gl1800-gold-wing-2001,Honda,GL1800,9
honda-rc213v-s-2015,Honda,RC213V-S,10
kawasaki-ninja-7-hybrid-2024,Kawasaki,Ninja 7 Hybrid,7
kawasaki-zx-6r-636-2024-2024,Kawasaki,ZX-6R,8
honda-cb400f-super-sport-1975,Honda,CB400F,9
